0,기꾸스시 ,서울특별시 서대문구 창천동 72-23,02-324-5356 
1,아지겐 ,서울특별시 용산구 이촌동 301-153,02-794-8177 
2,란이 (Lanyi) ,세종특별자치시 도담동 65-4,044-862-8809 
3,연이자카야 ,세종특별자치시 종촌동 673,044-862-9052 
4,또보겠지떡볶이 ,서울특별시 서대문구 창천동 5-42 2층, 
5,발리비스트로 ,서울특별시 마포구 노고산동 31-74,02-718-8702 
